area,low,high,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
1.373617068,4.656937903,5.772906827,41,36,16,7,0,0,0,0,0,0,33,30,20,14,3,0,0,0,0,0,0
2.704676165,7.818733879,8.304031845,28,26,14,19,4,4,2,1,0,1,20,28,15,14,14,6,2,1,0,0,0
0.414778869,2.562102174,3.319518142,74,19,5,2,0,0,0,0,0,0,59,27,13,1,0,0,0,0,0,0,0
0.262396803,3.714437441,3.671539452,60,24,12,4,0,0,0,0,0,0,59,23,10,7,1,0,0,0,0,0,0
0.400706586,3.657061464,4.065809001,65,24,9,0,0,0,0,0,0,0,48,31,14,6,1,0,0,0,0,0,0
1.274456064,4.753256583,7.113599165,51,33,9,4,0,1,0,0,0,0,33,28,21,5,7,1,2,0,0,1,0
1.640728688,6.0945967,7.999725426,42,26,18,11,0,1,0,0,0,0,28,29,19,9,9,3,0,1,0,0,0
2.065861952,5.435255845,6.28671873,35,32,20,9,3,0,1,0,0,0,36,25,17,14,4,1,2,1,0,0,0
2.377374277,6.725402368,8.573025565,24,33,24,7,7,3,1,1,0,0,20,23,16,25,6,6,2,2,0,0,0
1.984297969,5.75405212,7.883934858,39,29,17,9,2,2,0,1,0,0,28,27,19,10,8,6,0,0,0,0,0
1.363044494,5.328310329,6.487872586,38,33,21,5,1,0,0,0,0,2,29,34,21,5,6,2,1,0,0,0,0
0.806324371,3.453746617,4.600032884,56,33,7,2,2,0,0,0,0,0,42,32,17,6,3,0,0,0,0,0,0
0.350282676,3.033604831,3.77848755,65,26,7,2,0,0,0,0,0,0,53,32,11,4,0,0,0,0,0,0,0
0.268550721,2.804070742,3.476096929,67,25,8,0,0,0,0,0,0,0,59,25,15,1,0,0,0,0,0,0,0
0.609296052,3.547091701,4.960119135,56,29,11,2,2,0,0,0,0,0,43,30,18,6,1,1,0,0,1,0,0
1.64307129,4.517656351,6.875479495,45,33,13,6,1,0,0,2,0,0,39,22,18,11,6,0,1,1,0,0,0
1.35507714,4.939168189,6.743212012,41,26,24,7,1,1,0,0,0,0,31,27,22,9,7,2,0,0,1,1,0
1.919862207,5.729385399,7.475068136,43,26,11,9,10,1,0,0,0,0,25,27,17,10,14,4,2,1,0,0,0
3.464327344,7.362393656,10.22369506,33,25,17,9,8,1,2,3,1,0,20,21,14,23,6,5,6,2,1,0,0
3.098151554,7.036889429,9.303943146,33,28,17,7,6,6,1,0,0,0,28,22,20,9,9,3,6,1,0,0,0
1.602255909,4.639232525,6.577901901,40,33,21,3,3,0,0,0,0,0,31,29,21,5,10,3,1,0,0,0,0
0.82367347,3.745295104,4.993344726,52,34,12,2,0,0,0,0,0,0,41,30,20,8,1,0,0,0,0,0,0
0.40922458,2.318900731,3.525708623,77,19,4,0,0,0,0,0,0,0,52,37,9,2,0,0,0,0,0,0,0
0.23285241,3.121833214,3.632975249,68,21,8,2,1,0,0,0,0,0,58,26,11,2,3,0,0,0,0,0,0
0.443103372,4.435739739,4.904755647,60,28,9,1,0,0,0,0,0,0,50,30,13,4,1,0,0,0,0,0,0
1.077754399,5.327670434,6.02280678,39,34,20,2,2,1,0,0,0,0,29,36,19,11,1,1,1,1,1,0,0
1.323900005,4.643942079,6.231246875,46,28,16,8,2,0,0,0,0,0,34,30,16,7,9,3,1,0,0,0,0
2.181809215,5.760910339,6.3353996,30,33,20,9,8,0,0,0,0,0,34,24,18,15,5,4,0,0,0,0,0
2.86131482,8.527162998,10.36801018,34,16,26,13,3,3,1,0,0,0,19,26,15,12,8,9,5,4,0,0,0
1.785714275,5.745325575,7.259179793,42,25,18,7,3,1,2,1,0,0,30,26,16,12,8,4,2,2,0,0,0
1.347483634,5.122224224,5.815865156,44,32,17,3,1,0,0,0,0,1,40,27,13,11,7,0,1,1,0,0,0
0.819667894,3.935617999,5.230318162,47,35,14,3,1,0,0,0,0,0,43,26,16,11,2,1,1,0,0,0,0
0.399545886,3.051366129,3.751973709,64,26,9,1,0,0,0,0,0,0,53,27,16,4,0,0,0,0,0,0,0
0.245406675,3.240870021,3.520596161,57,37,6,0,0,0,0,0,0,0,62,21,13,4,0,0,0,0,0,0,0
0.442642712,4.759353317,4.413525472,59,25,12,2,0,0,0,0,0,0,59,24,11,3,1,0,0,0,0,0,0
1.224726758,6.518859445,6.727746162,41,29,19,7,0,0,0,0,0,0,32,33,18,9,1,2,2,0,1,0,0
1.994726999,6.376899055,8.459158046,45,31,14,4,1,1,0,0,0,1,32,29,17,10,5,2,0,1,0,0,0
1.619873033,5.917338827,6.533070329,34,37,15,7,4,0,1,0,1,0,34,26,21,9,4,4,0,1,0,0,0
3.265725171,6.887488914,9.125514032,36,20,23,12,3,4,0,0,0,0,28,17,12,15,12,10,2,2,1,1,0
2.282746692,5.858257157,8.343930075,37,26,20,11,2,3,0,1,0,0,25,24,19,14,6,7,2,1,0,2,0
1.601037763,6.032228217,6.790681761,44,30,16,6,0,0,0,0,0,0,37,31,11,10,7,1,0,1,0,0,0
0.957718287,4.09332079,5.266050436,47,29,20,4,0,0,0,0,0,0,37,28,22,12,1,0,0,0,0,0,0
0.437522029,2.329975605,3.478716812,74,23,3,0,0,0,0,0,0,0,58,30,9,3,0,0,0,0,0,0,0
0.255718058,3.134744239,3.428501801,60,30,8,2,0,0,0,0,0,0,57,29,11,3,0,0,0,0,0,0,0
0.412017809,3.704470337,4.628871897,60,24,12,2,0,2,0,0,0,0,42,38,13,5,0,1,1,0,0,0,0
1.133689005,4.460181624,6.232873898,50,25,16,7,1,1,0,0,0,0,35,24,21,14,3,2,0,0,0,1,0
