f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,label
37,2,0,1,1,1,0,0,0,37,2,0,1,1,1,37,2,0,1,0
21,1,0,0,0,0,0,0,0,21,1,0,0,0,0,21,1,0,0,0
36,10,2,2,2,0,0,0,0,36,10,2,2,2,0,36,10,2,2,0
19,0,1,1,0,1,0,0,0,19,0,1,1,0,1,19,0,1,1,0
31,3,1,0,1,0,0,0,1,31,3,1,0,1,0,31,3,1,0,0
15,4,0,0,0,2,0,0,0,15,4,0,0,0,2,15,4,0,0,0
22,4,0,2,2,1,0,0,0,22,4,0,2,2,1,22,4,0,2,0
17,4,1,1,0,0,0,0,0,17,4,1,1,0,0,17,4,1,1,0
26,3,0,3,0,0,0,0,0,26,3,0,3,0,0,26,3,0,3,0
16,1,1,0,1,0,0,0,0,16,1,1,0,1,0,16,1,1,0,0
18,1,1,0,0,0,1,0,0,18,1,1,0,0,0,18,1,1,0,0
18,0,0,2,1,0,0,0,0,18,0,0,2,1,0,18,0,0,2,0
23,1,2,1,1,2,0,0,0,23,1,2,1,1,2,23,1,2,1,0
26,2,0,1,0,1,0,0,0,26,2,0,1,0,1,26,2,0,1,0
23,2,0,1,1,1,0,0,0,23,2,0,1,1,1,23,2,0,1,0
14,1,0,0,1,0,0,0,0,14,1,0,0,1,0,14,1,0,0,0
36,2,1,0,0,1,0,0,0,36,2,1,0,0,1,36,2,1,0,0
17,1,0,1,0,0,0,0,0,17,1,0,1,0,0,17,1,0,1,0
23,2,0,0,0,0,0,0,0,23,2,0,0,0,0,23,2,0,0,0
22,2,2,0,0,0,0,0,0,22,2,2,0,0,0,22,2,2,0,0
18,4,1,2,0,1,0,0,0,18,4,1,2,0,1,18,4,1,2,0
22,3,1,1,0,0,0,0,0,22,3,1,1,0,0,22,3,1,1,0
19,2,1,0,0,0,0,0,0,19,2,1,0,0,0,19,2,1,0,0
8,2,0,1,0,0,0,0,0,8,2,0,1,0,0,8,2,0,1,0
27,4,1,1,1,0,0,0,0,27,4,1,1,1,0,27,4,1,1,0
16,3,2,1,0,1,0,0,0,16,3,2,1,0,1,16,3,2,1,0
25,3,2,0,0,1,0,0,0,25,3,2,0,0,1,25,3,2,0,0
14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0
19,4,4,4,0,0,0,0,0,19,4,4,4,0,0,19,4,4,4,0
12,1,0,1,0,0,0,0,0,12,1,0,1,0,0,12,1,0,1,0
23,1,0,1,0,1,0,0,0,23,1,0,1,0,1,23,1,0,1,0
15,1,2,2,0,0,0,0,0,15,1,2,2,0,0,15,1,2,2,0
26,3,1,0,0,0,0,0,0,26,3,1,0,0,0,26,3,1,0,0
17,3,1,1,0,0,0,0,0,17,3,1,1,0,0,17,3,1,1,0
29,4,1,2,2,0,0,0,0,29,4,1,2,2,0,29,4,1,2,0
29,0,0,1,1,0,0,0,0,29,0,0,1,1,0,29,0,0,1,0
23,1,0,2,1,0,0,0,0,23,1,0,2,1,0,23,1,0,2,0
14,2,3,2,0,1,0,0,0,14,2,3,2,0,1,14,2,3,2,0
31,4,1,1,0,0,0,0,0,31,4,1,1,0,0,31,4,1,1,0
20,1,1,0,0,1,0,0,0,20,1,1,0,0,1,20,1,1,0,0
22,0,0,3,2,4,0,0,0,22,0,0,3,2,4,22,0,0,3,0
21,1,1,1,1,0,0,0,0,21,1,1,1,1,0,21,1,1,1,0
26,3,3,0,2,0,0,0,0,26,3,3,0,2,0,26,3,3,0,0
9,1,1,2,0,0,0,0,0,9,1,1,2,0,0,9,1,1,2,0
20,3,4,1,0,1,0,0,0,20,3,4,1,0,1,20,3,4,1,0
17,0,2,0,0,0,0,0,0,17,0,2,0,0,0,17,0,2,0,0
18,1,1,2,2,1,0,0,0,18,1,1,2,2,1,18,1,1,2,0
16,0,0,1,1,2,0,0,0,16,0,0,1,1,2,16,0,0,1,0
31,3,0,0,2,0,1,0,0,31,3,0,0,2,0,31,3,0,0,0
23,3,1,2,0,0,0,0,0,23,3,1,2,0,0,23,3,1,2,0
29,3,0,1,1,1,0,0,0,29,3,0,1,1,1,29,3,0,1,0
21,2,0,0,1,0,0,0,0,21,2,0,0,1,0,21,2,0,0,0
18,4,3,0,0,0,0,0,0,18,4,3,0,0,0,18,4,3,0,0
22,2,2,0,1,0,0,0,0,22,2,2,0,1,0,22,2,2,0,0
22,2,0,0,0,2,0,0,0,22,2,0,0,0,2,22,2,0,0,0
14,2,1,1,0,0,0,0,0,14,2,1,1,0,0,14,2,1,1,0
14,1,3,2,0,0,0,0,0,14,1,3,2,0,0,14,1,3,2,0
6,1,0,0,1,0,0,0,0,6,1,0,0,1,0,6,1,0,0,0
8,1,3,0,0,1,0,0,0,8,1,3,0,0,1,8,1,3,0,0
4,1,1,1,0,1,0,0,0,4,1,1,1,0,1,4,1,1,1,0
8,2,1,0,0,0,0,0,0,8,2,1,0,0,0,8,2,1,0,0
3,2,1,2,0,0,0,0,0,3,2,1,2,0,0,3,2,1,2,0
5,3,1,0,0,2,0,0,0,5,3,1,0,0,2,5,3,1,0,0
5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0
22,9,9,2,1,1,0,3,1,22,9,9,2,1,1,22,9,9,2,0
5,1,0,0,2,0,0,0,0,5,1,0,0,2,0,5,1,0,0,0
14,2,2,0,2,0,0,0,0,14,2,2,0,2,0,14,2,2,0,0
3,2,1,0,1,0,0,0,0,3,2,1,0,1,0,3,2,1,0,0
9,3,0,0,0,0,0,0,0,9,3,0,0,0,0,9,3,0,0,0
5,2,2,0,1,0,0,0,0,5,2,2,0,1,0,5,2,2,0,0
6,1,1,2,0,1,0,0,0,6,1,1,2,0,1,6,1,1,2,0
9,1,0,0,1,0,0,0,0,9,1,0,0,1,0,9,1,0,0,0
35,22,7,5,3,3,2,1,2,35,22,7,5,3,3,35,22,7,5,0
9,1,0,1,1,0,0,0,0,9,1,0,1,1,0,9,1,0,1,0
9,2,3,3,0,2,0,0,0,9,2,3,3,0,2,9,2,3,3,0
8,0,2,1,1,1,0,0,0,8,0,2,1,1,1,8,0,2,1,0
6,2,2,0,1,0,0,0,0,6,2,2,0,1,0,6,2,2,0,0
6,2,1,0,0,0,0,0,0,6,2,1,0,0,0,6,2,1,0,0
10,0,1,0,0,0,0,0,0,10,0,1,0,0,0,10,0,1,0,0
3,1,3,1,0,0,0,0,0,3,1,3,1,0,0,3,1,3,1,0
8,1,1,2,1,0,0,0,0,8,1,1,2,1,0,8,1,1,2,0
2,1,1,1,2,0,0,0,0,2,1,1,1,2,0,2,1,1,1,0
4,6,2,0,0,0,0,0,0,4,6,2,0,0,0,4,6,2,0,0
6,4,0,1,0,0,0,0,0,6,4,0,1,0,0,6,4,0,1,0
6,2,0,0,0,0,0,0,0,6,2,0,0,0,0,6,2,0,0,0
5,0,1,1,0,1,0,0,0,5,0,1,1,0,1,5,0,1,1,0
13,2,1,0,0,0,0,0,0,13,2,1,0,0,0,13,2,1,0,0
3,0,0,0,1,1,0,0,0,3,0,0,0,1,1,3,0,0,0,0
3,2,2,0,0,1,0,0,0,3,2,2,0,0,1,3,2,2,0,0
