f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,label
1086,37,2,0,1,1,1,0,0,0,1086,37,2,0,1,1,1,1086,37,2,0,1,0
1067,21,1,0,0,0,0,0,0,0,1067,21,1,0,0,0,0,1067,21,1,0,0,0
1079,36,10,2,2,2,0,0,0,0,1079,36,10,2,2,2,0,1079,36,10,2,2,0
1062,19,0,1,1,0,1,0,0,0,1062,19,0,1,1,0,1,1062,19,0,1,1,0
1079,31,3,1,0,1,0,0,0,1,1079,31,3,1,0,1,0,1079,31,3,1,0,0
1060,15,4,0,0,0,2,0,0,0,1060,15,4,0,0,0,2,1060,15,4,0,0,0
1105,22,4,0,2,2,1,0,0,0,1105,22,4,0,2,2,1,1105,22,4,0,2,0
1063,17,4,1,1,0,0,0,0,0,1063,17,4,1,1,0,0,1063,17,4,1,1,0
1108,26,3,0,3,0,0,0,0,0,1108,26,3,0,3,0,0,1108,26,3,0,3,0
1083,16,1,1,0,1,0,0,0,0,1083,16,1,1,0,1,0,1083,16,1,1,0,0
1096,18,1,1,0,0,0,1,0,0,1096,18,1,1,0,0,0,1096,18,1,1,0,0
1071,18,0,0,2,1,0,0,0,0,1071,18,0,0,2,1,0,1071,18,0,0,2,0
1097,23,1,2,1,1,2,0,0,0,1097,23,1,2,1,1,2,1097,23,1,2,1,0
1069,26,2,0,1,0,1,0,0,0,1069,26,2,0,1,0,1,1069,26,2,0,1,0
1085,23,2,0,1,1,1,0,0,0,1085,23,2,0,1,1,1,1085,23,2,0,1,0
1062,14,1,0,0,1,0,0,0,0,1062,14,1,0,0,1,0,1062,14,1,0,0,0
1090,36,2,1,0,0,1,0,0,0,1090,36,2,1,0,0,1,1090,36,2,1,0,0
1070,17,1,0,1,0,0,0,0,0,1070,17,1,0,1,0,0,1070,17,1,0,1,0
1107,23,2,0,0,0,0,0,0,0,1107,23,2,0,0,0,0,1107,23,2,0,0,0
1061,22,2,2,0,0,0,0,0,0,1061,22,2,2,0,0,0,1061,22,2,2,0,0
