f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,label
2,24,37,59,36,38,35,25,24,19,177,137,89,44,21,13,4,8,2,0,148,101,48,48,25,17,14,15,12,12,0
0,0,3,3,3,16,8,13,22,22,177,142,89,47,24,9,3,3,1,0,132,111,53,35,24,25,14,19,8,12,0
0,10,40,52,50,39,39,35,24,22,202,137,68,45,19,12,6,3,1,1,130,118,58,27,28,17,16,9,16,7,0
0,3,1,2,6,19,19,21,25,24,187,142,79,49,20,13,4,0,0,1,136,93,63,41,28,19,15,20,4,11,0
3,21,45,51,31,43,31,33,22,19,172,137,83,48,31,16,6,2,1,2,135,99,52,34,34,18,22,10,12,15,0
0,1,3,4,6,9,14,13,22,25,190,135,81,51,21,11,3,1,3,0,124,92,67,28,38,23,21,18,7,8,0
3,14,45,45,38,41,42,33,27,24,207,119,87,40,26,11,2,2,1,1,150,86,52,42,30,27,16,10,11,9,0
0,0,3,6,6,12,14,20,30,30,183,134,98,32,23,16,7,2,1,0,126,109,50,48,28,18,13,12,16,8,0
1,19,43,61,45,28,24,24,29,19,190,124,81,45,28,20,8,1,0,2,158,75,63,39,29,19,23,17,12,4,0
0,0,0,4,9,12,8,13,21,24,168,131,99,43,28,14,9,3,1,0,122,104,65,48,29,17,8,12,11,10,0
2,22,31,51,44,45,41,31,20,34,189,117,82,59,32,12,3,1,0,0,154,84,57,31,30,26,13,13,12,9,0
0,0,4,6,7,13,15,19,23,26,179,137,76,56,20,16,7,2,2,1,144,103,68,31,23,21,13,12,11,10,0
3,30,40,38,41,45,31,24,33,28,154,150,85,58,25,14,8,3,1,0,146,97,53,40,18,25,19,10,12,13,0
0,0,0,4,2,13,12,15,26,17,205,126,85,44,25,7,1,3,2,0,143,92,52,42,33,23,19,15,6,5,0
2,23,39,51,40,37,34,33,25,27,194,127,84,46,23,14,5,2,1,1,127,102,64,37,36,23,25,11,5,7,0
0,0,2,4,6,17,20,14,21,26,179,147,70,50,26,18,4,1,1,0,115,113,72,27,22,22,14,18,12,11,0
0,17,54,60,53,21,26,30,19,26,187,130,84,48,27,8,5,3,2,3,143,106,55,35,29,18,10,13,12,12,0
0,0,1,2,8,5,12,18,23,21,201,131,80,47,23,9,2,4,1,0,136,90,50,47,32,23,20,12,13,9,0
2,19,44,51,42,35,28,46,32,20,201,132,80,48,19,8,4,2,1,0,144,87,60,43,40,23,14,15,5,10,0
0,0,0,9,6,8,16,26,23,25,178,136,89,37,31,9,7,4,3,0,134,105,64,36,25,21,9,13,15,9,0
2,25,43,45,50,43,30,28,22,28,176,154,73,49,24,8,6,6,0,1,135,77,61,44,26,22,32,16,6,9,0
0,0,0,1,7,9,13,20,13,25,199,129,74,44,28,16,3,0,1,2,136,97,62,44,29,18,10,18,4,11,0
