area,low,high,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
21.77670793,30.25698432,25.13228898,9,5,11,3,3,10,4,3,7,7,9,6,11,10,4,7,5,2,8,10,0
19.1457691,23.96364076,24.3876949,5,14,7,6,11,6,7,9,3,6,8,12,6,10,5,6,6,6,5,11,0
18.401747,24.99280897,21.69544359,7,7,6,13,11,6,9,6,2,5,20,12,6,8,5,6,3,7,6,3,0
16.52799589,24.62311949,22.31102647,10,9,9,7,5,7,11,9,4,1,6,14,11,9,9,6,7,4,6,2,0
15.06443279,26.21839431,20.73346046,12,11,9,5,3,7,8,5,3,5,11,13,12,5,8,5,8,8,6,4,0
12.218547,26.62015626,21.594749,5,9,11,6,5,7,6,10,3,7,8,11,9,10,13,4,6,6,8,6,0
17.51645565,22.94674036,19.42412101,10,7,15,6,8,9,8,6,3,4,19,15,6,3,6,10,11,6,5,2,0
17.0263109,23.90513447,18.19409608,10,7,10,9,6,9,6,6,6,5,16,10,10,10,9,9,6,6,5,6,0
14.71495736,24.70635303,18.82922798,14,7,6,10,6,2,6,6,5,5,13,13,10,8,9,4,12,5,5,4,0
12.67170028,22.04158861,23.31356177,13,9,6,14,4,8,10,3,3,6,9,9,8,10,6,10,3,7,5,5,0
13.21898105,21.69622195,22.95010377,16,7,9,5,10,7,2,4,3,8,17,6,8,3,6,4,6,3,9,6,0
14.74291748,21.65612072,20.95468467,13,9,8,12,5,5,3,8,4,2,16,6,9,9,4,6,7,8,8,5,0
12.21784085,23.75813118,21.31173355,7,12,7,15,8,4,6,2,1,6,12,12,4,11,9,9,7,6,6,2,0
12.98140342,24.6058584,19.50207358,12,11,9,7,3,4,7,11,6,4,15,10,11,7,6,6,6,5,11,7,0
14.36313833,23.37935126,19.2494404,12,10,7,7,10,11,7,7,3,0,13,9,10,6,9,11,11,6,3,3,0
12.58817844,22.74590796,21.00366609,8,12,12,5,11,6,6,5,5,5,17,10,8,12,8,4,3,3,6,3,0
14.08536847,23.54684416,18.69831714,8,8,9,14,7,3,7,4,5,7,14,19,11,4,5,10,7,4,5,5,0
13.20100022,22.36973383,20.22433109,9,10,11,8,13,7,8,6,5,2,11,10,11,8,9,8,6,5,6,6,0
17.83889647,18.40951055,19.52833282,14,13,9,12,11,8,5,6,3,5,16,7,14,13,12,6,3,3,2,4,0
11.10725816,24.56692115,20.06999,9,9,8,11,8,9,5,5,5,2,14,7,11,7,8,11,7,8,2,4,0
11.81800263,23.15920347,20.6907074,9,13,10,14,6,7,0,5,4,8,10,17,7,14,5,7,4,10,5,1,0
11.75063488,23.86560333,20.02855678,10,12,7,10,8,3,3,6,3,7,8,11,10,16,9,3,6,2,8,8,0
17.31825476,17.87749724,20.43768738,13,17,8,12,6,5,8,3,6,9,16,9,10,4,7,10,6,2,4,8,0
14.54070837,19.54490517,21.48790519,17,10,7,8,6,8,5,8,6,3,10,12,7,14,8,6,5,5,5,2,0
12.73565091,23.95574149,18.65322689,13,7,8,11,8,5,5,6,6,2,15,13,11,10,4,6,11,5,2,4,0
12.44686509,21.69643776,20.82314985,10,10,10,11,8,4,8,3,6,4,6,5,9,13,12,14,8,7,7,4,0
11.79158155,22.83167345,20.27957539,11,8,8,7,8,7,7,8,6,4,14,6,10,7,10,8,8,9,8,4,0
12.16593557,22.99646721,19.70735879,11,14,4,8,12,6,3,6,5,4,13,11,10,9,6,5,13,8,3,8,0
14.46208217,20.81258414,19.39713126,12,11,9,8,8,6,12,4,4,3,12,13,8,9,12,8,4,4,4,5,0
16.45689392,18.3072152,19.70906722,17,13,10,5,6,11,12,3,2,4,11,14,9,8,13,8,4,6,4,3,0
18.60301068,17.76482697,18.07152536,17,12,9,8,8,12,2,5,8,5,13,14,9,8,10,5,9,5,5,5,0
12.04676666,20.6127273,21.60459504,17,11,8,9,12,4,4,6,3,4,7,11,9,11,10,14,6,4,3,5,0
17.20271639,20.85229834,16.11537209,12,15,8,6,7,10,5,4,4,6,16,18,9,11,11,3,11,3,2,4,0
10.9687858,23.55469258,19.64236071,11,9,5,8,8,7,6,3,9,5,5,10,9,18,11,6,7,6,3,7,0
10.92839858,22.01442367,20.71557402,6,10,8,7,6,9,13,10,7,6,7,8,9,12,11,10,8,7,6,4,0
11.35809606,21.65829091,20.52924273,4,10,11,7,10,11,8,7,4,7,15,16,5,6,6,7,8,5,8,3,0
10.58085964,22.57902088,20.09645911,7,6,14,15,13,5,5,8,1,3,6,11,14,13,3,11,6,6,5,6,0
11.96331713,21.68502561,19.4814362,8,12,12,15,5,4,7,4,5,6,12,10,11,14,6,9,5,6,3,5,0
10.74825949,21.84784831,20.40428153,5,14,9,7,7,8,10,9,5,7,8,10,18,7,8,5,7,9,5,4,0
10.11492618,21.85946839,20.83634997,12,12,5,7,10,4,10,10,4,2,15,12,5,6,8,8,7,4,9,3,0
10.02384926,23.52395244,19.12469632,8,10,15,8,8,5,5,5,5,4,11,10,10,10,10,6,4,11,9,6,0
11.06744791,20.72770318,20.47837998,9,9,11,11,9,12,4,6,6,5,11,7,8,12,9,8,8,5,9,8,0
17.94318647,16.85367599,17.26924583,15,18,13,4,8,12,6,4,2,2,17,15,10,9,9,10,2,6,6,2,0
10.88384224,19.84358949,21.30983983,13,10,9,8,8,8,8,5,6,7,11,7,13,9,6,12,5,7,4,3,0
10.61103535,21.82835738,19.37195858,11,8,11,10,6,4,11,6,10,3,11,8,9,9,14,8,9,6,7,4,0
11.41760383,21.78473998,18.53490589,9,5,14,7,10,9,6,8,5,4,13,15,13,4,10,6,4,6,6,4,0
10.72519094,21.01867885,19.95634367,16,17,5,5,10,4,6,3,4,6,6,11,12,15,8,7,6,8,7,3,0
10.74847109,19.75896763,21.16666481,13,16,7,10,5,7,4,5,5,7,8,16,11,9,9,7,3,5,2,5,0
15.42632919,20.81801688,15.32531078,18,6,8,9,9,7,5,4,4,7,14,13,12,9,14,11,6,4,2,7,0
9.553795037,21.91884348,19.90046043,6,8,11,7,15,5,5,12,3,6,11,14,10,8,9,6,6,8,2,6,0
11.04123549,21.5247847,18.74091757,10,12,10,7,12,6,4,8,5,3,10,11,9,12,11,11,5,6,6,2,0
10.92652274,22.44248168,17.88288113,14,7,8,15,10,7,2,1,3,6,10,16,11,13,8,8,6,7,4,3,0
10.46753463,19.7537362,20.92292767,8,14,10,10,9,5,10,6,6,4,9,15,5,6,11,7,8,4,9,6,0
11.31144904,22.57562902,16.9632693,12,2,16,4,8,7,6,10,6,3,13,11,14,9,6,8,8,10,3,5,0
11.52892644,20.04483725,19.21362151,10,8,8,19,7,6,10,5,4,4,12,16,4,9,10,8,9,5,3,5,0
14.29408455,19.90790207,16.53392262,12,14,13,7,7,8,3,12,3,4,13,8,17,19,5,7,4,5,1,8,0
11.25303704,19.77383893,19.61046413,11,8,8,15,10,7,9,7,2,0,6,12,16,12,5,10,5,7,4,6,0
13.36329455,19.58269561,17.5798617,7,11,8,9,11,12,7,8,8,6,15,10,13,7,9,4,6,7,11,4,0
9.14107158,21.24746981,20.08449688,8,9,7,12,12,12,9,2,4,3,9,13,7,11,8,4,9,7,10,7,0
11.85405093,20.10958487,18.42527723,10,11,14,7,11,5,7,6,6,4,10,13,12,9,10,5,9,6,5,5,0
10.70513663,19.26290475,20.29522461,13,7,15,9,9,7,9,4,7,2,13,10,9,10,8,9,4,4,3,6,0
9.050849991,21.84173941,19.01281308,14,12,8,8,3,5,9,4,9,4,11,9,11,12,6,12,6,6,4,5,0
9.434074583,20.38082822,20.02762041,10,13,10,7,12,10,6,5,4,3,10,11,15,5,9,7,10,6,5,6,0
10.1118695,20.16828282,19.5449402,17,10,12,8,5,3,7,9,8,4,12,12,11,9,11,6,6,7,6,4,0
10.31141095,21.64023363,17.79986505,9,9,9,11,10,3,4,11,6,6,9,17,10,8,13,6,3,10,6,5,0
9.636021003,20.73068159,19.15505234,9,13,11,7,5,9,6,8,6,4,5,17,11,8,10,10,5,7,5,7,0
9.875044629,20.77117218,18.65037124,14,10,7,7,12,5,3,9,5,5,10,8,13,10,14,3,8,9,6,5,0
9.949214124,21.51423044,17.75892507,13,9,5,12,8,10,7,5,2,8,11,14,13,8,11,6,9,3,7,5,0
10.76727673,19.92089937,18.51990338,9,9,12,11,9,6,11,5,4,9,10,11,12,11,12,5,11,5,4,4,0
14.7152267,18.70615878,15.32018109,15,13,11,8,6,9,5,4,5,5,6,24,15,16,5,7,4,6,4,2,0
10.32449106,19.30301817,18.925183,10,12,11,6,12,10,6,4,4,6,7,10,10,13,12,10,10,1,5,9,0
10.62292851,19.46212988,18.43236682,11,9,7,11,14,6,10,5,9,2,15,10,12,14,9,2,7,4,3,5,0
14.81349782,15.13578851,18.48043702,10,20,3,12,15,10,8,11,4,3,8,16,11,10,14,6,7,3,5,3,0
14.9323421,16.66288883,16.79833276,16,13,8,14,9,8,3,4,6,1,16,12,11,12,10,7,3,4,6,7,0
9.666954635,20.15347993,18.47689615,13,16,8,6,3,10,7,4,8,8,11,13,8,14,5,8,9,13,2,1,0
13.75717238,18.32401939,16.14431471,12,8,14,15,11,6,4,4,7,4,18,9,14,7,4,14,8,4,9,3,0
9.674995971,21.10633621,17.42959224,14,10,7,11,11,7,5,5,1,5,16,13,11,7,7,7,8,6,7,5,0
13.74045952,19.51488893,14.90100212,6,14,12,11,9,10,5,3,4,8,16,16,15,10,10,6,2,5,5,2,0
10.76464306,20.74506672,16.58062746,11,7,12,11,9,5,9,8,6,3,14,17,14,8,5,10,6,6,2,3,0
9.439494053,22.59975417,15.96309107,10,7,9,5,11,6,14,7,5,6,22,9,15,5,11,9,4,8,5,3,0
9.267393321,22.44235843,16.2122681,5,7,12,11,7,8,7,10,5,8,12,8,14,9,13,10,10,8,4,4,0
16.1917318,14.26059965,17.42829394,16,12,17,13,8,9,7,4,6,3,12,16,8,9,8,13,5,5,5,3,0
9.653338123,20.33843836,17.86042462,12,8,7,15,12,9,8,3,9,0,12,13,12,12,12,6,5,5,4,5,0
8.529059619,21.7305057,17.4808817,6,15,9,11,8,2,7,4,7,7,14,13,13,7,11,7,8,5,4,6,0
9.389538266,21.07791542,17.25986846,17,10,7,8,6,7,7,6,3,4,12,13,16,10,7,3,12,5,1,6,0
10.64472569,17.31262378,19.69715549,11,15,14,5,9,13,5,5,5,3,10,11,18,10,5,6,2,11,4,4,0
10.16613458,18.75241629,18.64091726,9,18,10,7,14,7,5,6,2,1,12,14,7,16,9,7,6,5,4,4,0
8.31355524,21.7971115,17.24074013,9,4,13,9,9,12,5,9,6,5,12,8,10,9,14,11,7,10,5,2,0
12.35887123,16.94904909,17.96119956,10,16,15,14,7,9,4,4,4,2,17,12,10,12,6,9,2,5,10,1,0
9.330997037,19.10902029,18.80981275,12,10,11,11,4,4,12,6,8,6,16,8,7,11,16,8,5,6,3,5,0
9.444772303,19.44098115,18.33405235,6,12,13,15,6,5,10,4,7,4,16,12,11,10,6,6,7,3,4,10,0
12.10261785,18.79858954,16.24789823,12,14,12,7,9,11,4,2,8,3,17,15,14,8,10,7,4,2,1,8,0
8.814754412,19.47061946,18.8093586,11,10,12,10,5,9,4,13,4,3,6,9,20,11,9,9,5,6,3,4,0
8.699946144,20.57904251,17.74184087,11,12,12,10,6,5,8,5,5,2,8,12,17,16,6,3,7,6,5,9,0
12.35460278,17.53796183,16.99586579,10,17,9,9,9,6,8,6,12,5,14,13,12,8,10,7,5,8,9,4,0
13.03295817,18.40843739,15.39477733,11,9,10,17,9,9,7,5,4,6,21,13,9,10,12,7,5,4,1,5,0
9.416922445,19.16038887,18.17058082,15,11,11,12,11,6,4,1,5,7,11,11,9,11,13,12,7,4,3,3,0
9.73843242,18.84866451,18.14960779,11,8,13,8,10,7,12,6,1,10,10,10,9,10,18,6,9,7,5,6,0
10.33723708,21.12014452,15.27032917,11,9,11,11,6,9,8,6,6,1,20,12,11,9,12,9,6,6,4,2,0
14.55667842,17.42457551,14.65059422,13,13,12,10,8,10,4,5,8,5,12,18,14,9,13,7,6,4,5,3,0
10.09282032,19.37180675,17.15465915,16,10,7,11,6,6,9,7,5,4,19,16,8,10,14,4,4,4,5,1,0
11.5637316,19.07802979,15.9076423,10,13,12,11,9,10,3,6,4,4,16,12,12,11,7,9,8,3,6,6,0
9.831573228,18.24479097,18.40471149,11,12,10,14,6,7,10,5,7,2,9,16,11,8,9,12,9,5,3,0,0
13.27964573,18.63658696,14.55591081,15,9,12,8,6,12,7,4,5,6,18,13,16,10,8,8,6,2,5,3,0
8.304216836,21.12809441,16.98499458,11,11,5,8,5,12,5,13,8,5,5,17,15,16,12,3,5,4,7,4,0
9.996581919,20.38982992,15.9774274,12,12,5,8,4,14,7,6,5,10,14,11,13,14,8,7,11,6,2,2,0
8.875328398,20.22229319,17.19105713,14,9,8,7,10,10,6,8,6,4,16,10,13,8,11,9,6,8,1,5,0
8.672700501,19.83960784,17.73470025,12,6,12,5,11,9,9,9,6,9,5,14,15,10,12,11,6,6,4,4,0
8.482375553,19.68732533,18.06756641,7,20,6,12,4,5,8,6,9,6,12,14,12,9,10,7,4,10,3,4,0
8.824497833,19.8375694,17.55939805,8,13,9,10,8,9,7,7,7,2,10,15,17,8,6,8,6,4,4,3,0
9.544682982,20.65154219,15.92274598,13,10,7,9,4,8,10,7,7,4,12,16,10,13,12,6,9,5,3,4,0
8.438476317,19.45704249,17.99997514,16,13,7,4,9,6,11,7,5,9,12,15,11,12,5,8,7,3,4,8,0
9.793510342,19.7844801,16.26007582,11,10,11,6,6,11,7,12,2,9,21,16,6,7,6,8,5,9,7,6,0
12.80427306,16.81498702,16.21190069,15,17,11,7,9,5,10,3,5,4,9,10,16,12,10,7,16,7,4,1,0
9.661832157,18.99384554,17.14050585,10,9,14,11,7,9,6,3,7,9,11,16,12,9,10,9,4,4,7,6,0
9.242130002,18.27008513,18.21012583,12,11,12,6,10,8,9,10,5,4,9,14,11,10,12,6,5,10,6,1,0
14.69382461,14.4033676,16.57819047,19,13,16,10,12,3,4,6,3,4,11,21,11,11,8,6,5,6,7,1,0
9.425936015,18.50433552,17.73681003,20,8,7,11,5,9,5,9,3,7,13,13,13,11,7,5,6,7,7,5,0
10.63298347,20.43304275,14.59531698,15,6,6,11,10,12,7,5,6,4,16,12,12,13,13,5,8,7,5,2,0
8.50037499,19.60110949,17.48193043,13,10,10,9,11,6,12,8,5,3,18,9,11,14,10,6,4,8,2,2,0
10.62029155,17.95567288,16.91921816,16,14,11,11,10,7,7,3,2,3,15,18,11,11,6,13,6,2,2,2,0
14.16202167,14.99347536,16.28350119,5,17,13,17,13,12,5,4,6,1,15,14,14,9,5,8,9,4,8,2,0
10.28931636,18.93887269,16.20690101,10,18,6,10,10,8,5,6,4,4,15,13,15,10,7,7,7,3,4,3,0
8.586688372,21.54640394,15.28786503,13,11,10,6,6,8,5,6,3,9,13,17,19,7,7,6,4,6,8,3,0
8.400711176,19.69923989,17.21769557,11,12,9,11,13,6,7,5,3,3,11,15,8,12,9,9,5,6,7,7,0
13.99851666,16.1192634,15.16952475,14,15,15,8,10,5,5,9,5,3,15,12,14,13,7,5,13,6,2,5,0
8.552363528,20.83548714,15.85112099,17,10,11,9,3,4,8,8,4,4,19,10,14,13,7,5,8,8,3,1,0
14.24359454,15.4273848,15.51237038,14,16,13,8,13,6,10,3,2,3,14,18,11,8,10,8,9,3,8,2,0
9.048401854,19.86937458,16.17990846,17,10,7,12,6,5,7,8,4,6,18,12,18,8,6,8,4,5,4,6,0
12.29885062,16.95741027,15.71760436,18,11,11,5,12,8,7,8,4,4,15,16,10,10,6,11,4,8,5,5,0
12.6184695,16.14914959,16.14742796,21,12,10,15,7,4,3,4,7,3,10,14,13,16,6,10,5,6,4,6,0
12.02007215,16.55683681,16.2761133,12,17,14,6,6,7,9,9,4,4,18,20,4,5,10,8,6,8,5,2,0
8.551089079,19.75200014,16.50683208,11,9,9,8,12,11,4,8,10,4,15,9,17,12,7,4,7,10,5,2,0
12.16947865,18.68097322,13.89079094,14,14,10,7,8,8,5,4,7,6,17,10,17,15,10,9,5,3,2,4,0
8.254606777,18.07463276,18.39262278,14,14,8,18,3,8,2,6,5,5,14,13,8,11,11,3,5,8,7,2,0
8.68124963,19.2971343,16.6897718,14,10,18,8,5,7,3,7,6,4,15,15,5,13,11,4,9,6,8,3,0
9.007200007,17.50252084,18.13188357,16,14,11,7,12,5,6,9,3,0,15,11,14,6,10,8,9,6,3,3,0
8.479294128,19.55732238,16.56412003,8,14,12,8,7,11,6,1,9,3,18,11,14,13,9,4,5,5,4,4,0
12.02123844,16.93460229,15.57939898,12,18,10,11,12,4,7,6,2,4,24,19,6,9,3,8,6,2,7,1,0
5.836801979,14.22692607,24.46163556,26,18,11,6,8,4,3,2,7,4,21,11,3,9,5,5,7,2,3,3,0
9.640222178,16.52062557,18.34289512,14,11,10,16,9,7,5,4,7,3,13,13,6,7,12,8,11,3,5,9,0
13.28701261,14.86507316,16.20622017,15,13,8,17,11,10,4,9,6,1,13,15,12,11,7,13,5,4,4,4,0
12.54194911,16.4869529,15.16961655,12,12,14,14,10,6,5,5,7,2,16,13,14,10,6,13,11,3,2,2,0
8.163541627,17.8367424,18.19692723,12,11,12,9,10,8,6,10,7,5,13,12,10,9,9,12,4,6,6,2,0
8.073020925,18.39662825,17.70997627,16,7,7,14,13,11,8,2,3,2,15,14,4,13,7,11,11,6,2,3,0
12.15729748,16.23341348,15.65014269,12,17,12,9,8,10,8,7,5,1,11,17,15,7,10,8,7,8,5,2,0
10.44196368,17.76105898,15.76409053,11,16,12,9,5,9,12,4,5,4,13,13,15,9,12,11,3,5,5,5,0
8.529092683,18.70309338,16.68509529,13,8,14,10,8,9,6,5,7,7,17,11,13,12,9,5,8,3,5,3,0
11.8150036,16.52987449,15.56571689,16,15,10,11,11,5,5,6,4,5,13,11,6,15,12,14,8,6,5,4,0
8.653033924,18.65630621,16.53286083,18,9,9,12,3,8,10,7,3,3,12,16,10,14,10,8,5,5,2,7,0
12.15989107,16.30492279,15.35937806,12,11,12,13,9,12,9,3,4,6,13,13,14,8,13,10,8,6,4,2,0
7.303944114,18.92605649,17.56950455,10,13,14,7,7,8,5,8,6,6,9,10,16,9,15,7,10,5,3,3,0
12.72204419,16.29745237,14.77613789,11,12,16,17,4,6,6,10,4,2,17,13,9,11,13,12,5,7,1,3,0
