feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,label
499,0,1,0,0,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
495,5,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
498,1,1,0,0,0,0,0,0,0,0
497,1,2,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
498,0,2,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
499,0,1,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
499,0,1,0,0,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0
497,2,1,0,0,0,0,0,0,0,0
498,1,1,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
499,0,1,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
498,1,1,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
