feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,label
481,7,5,5,2,0,0,0,0,0,0
488,7,1,3,1,0,0,0,0,0,0
474,10,4,12,0,0,0,0,0,0,0
495,3,2,0,0,0,0,0,0,0,0
480,5,10,2,2,0,1,0,0,0,0
488,4,3,3,2,0,0,0,0,0,0
483,7,6,1,2,1,0,0,0,0,0
492,5,1,1,1,0,0,0,0,0,0
483,11,5,1,0,0,0,0,0,0,0
488,6,1,3,2,0,0,0,0,0,0
483,7,7,2,1,0,0,0,0,0,0
491,3,2,2,2,0,0,0,0,0,0
480,5,9,5,1,0,0,0,0,0,0
491,3,4,1,1,0,0,0,0,0,0
480,6,7,6,1,0,0,0,0,0,0
491,5,1,1,1,1,0,0,0,0,0
482,6,2,9,1,0,0,0,0,0,0
488,4,1,6,1,0,0,0,0,0,0
470,5,9,11,5,0,0,0,0,0,0
493,5,0,1,1,0,0,0,0,0,0
484,5,6,5,0,0,0,0,0,0,0
493,2,2,2,0,1,0,0,0,0,0
480,5,7,8,0,0,0,0,0,0,0
492,2,4,2,0,0,0,0,0,0,0
479,6,10,5,0,0,0,0,0,0,0
494,2,1,3,0,0,0,0,0,0,0
480,4,6,8,2,0,0,0,0,0,0
493,3,2,1,1,0,0,0,0,0,0
481,4,9,4,2,0,0,0,0,0,0
489,2,6,1,2,0,0,0,0,0,0
486,2,5,4,3,0,0,0,0,0,0
486,6,5,1,2,0,0,0,0,0,0
480,5,5,8,1,1,0,0,0,0,0
491,1,5,2,1,0,0,0,0,0,0
483,3,9,5,0,0,0,0,0,0,0
493,4,3,0,0,0,0,0,0,0,0
481,4,8,7,0,0,0,0,0,0,0
490,6,3,0,1,0,0,0,0,0,0
480,6,9,3,2,0,0,0,0,0,0
494,1,1,1,3,0,0,0,0,0,0
481,3,6,7,1,1,1,0,0,0,0
489,3,4,3,1,0,0,0,0,0,0
483,7,2,7,1,0,0,0,0,0,0
491,3,1,3,2,0,0,0,0,0,0
477,7,9,5,2,0,0,0,0,0,0
492,3,3,1,1,0,0,0,0,0,0
480,4,9,7,0,0,0,0,0,0,0
493,4,0,1,2,0,0,0,0,0,0
486,6,3,3,2,0,0,0,0,0,0
486,3,5,3,2,1,0,0,0,0,0
483,6,5,4,2,0,0,0,0,0,0
496,0,1,2,1,0,0,0,0,0,0
477,4,11,7,1,0,0,0,0,0,0
494,1,1,0,3,1,0,0,0,0,0
481,5,5,5,4,0,0,0,0,0,0
491,4,1,3,1,0,0,0,0,0,0
489,3,3,4,1,0,0,0,0,0,1
491,3,2,4,0,0,0,0,0,0,1
489,6,2,2,1,0,0,0,0,0,1
490,4,2,2,2,0,0,0,0,0,1
477,7,8,8,0,0,0,0,0,0,1
491,7,0,2,0,0,0,0,0,0,1
484,7,5,2,2,0,0,0,0,0,1
491,3,2,3,1,0,0,0,0,0,1
487,5,1,5,2,0,0,0,0,0,1
494,3,2,1,0,0,0,0,0,0,1
481,8,5,3,3,0,0,0,0,0,1
491,3,3,3,0,0,0,0,0,0,1
488,7,1,4,0,0,0,0,0,0,1
488,6,1,5,0,0,0,0,0,0,1
480,6,5,8,1,0,0,0,0,0,1
488,5,3,3,1,0,0,0,0,0,1
482,5,7,5,1,0,0,0,0,0,1
487,3,5,4,1,0,0,0,0,0,1
479,11,7,2,1,0,0,0,0,0,1
491,1,3,4,1,0,0,0,0,0,1
483,10,2,3,2,0,0,0,0,0,1
487,4,3,6,0,0,0,0,0,0,1
488,5,2,4,0,1,0,0,0,0,1
489,4,2,4,0,1,0,0,0,0,1
482,6,5,6,1,0,0,0,0,0,1
485,7,5,2,0,1,0,0,0,0,1
484,8,4,1,3,0,0,0,0,0,1
490,1,5,3,1,0,0,0,0,0,1
484,8,4,3,1,0,0,0,0,0,1
478,9,3,10,0,0,0,0,0,0,1
483,10,2,5,0,0,0,0,0,0,1
485,7,5,2,0,0,1,0,0,0,1
486,6,4,4,0,0,0,0,0,0,1
484,8,0,5,2,1,0,0,0,0,1
